=================================================================
  FUSSI Image Optimizer
  Source : C:\Users\mehme\Desktop\Stores\cozastore-master\images
  Output : C:\Users\mehme\Desktop\Stores\cozastore-master\images\webp
  Quality: 85  |  Max width: 2000px
  [OK]  images\br\Gemini_Generated_Image_e90w7pe90w7pe90w.png -> images\webp\br\product-br-018.webp  61.6% LARGER (source was already small)
  [OK]  images\br\Gemini_Generated_Image_ehkti0ehkti0ehkt.png -> images\webp\br\product-br-019.webp  69.5% LARGER (source was already small)
  [OK]  images\br\Gemini_Generated_Image_eskhlneskhlneskh.png -> images\webp\br\product-br-020.webp  54.0% LARGER (source was already small)
  [OK]  images\br\Gemini_Generated_Image_f99gwsf99gwsf99g.png -> images\webp\br\product-br-021.webp  61.4% LARGER (source was already small)
  [OK]  images\br\Gemini_Generated_Image_fbkapdfbkapdfbka.png -> images\webp\br\product-br-022.webp  61.2% LARGER (source was already small)
  [OK]  images\br\Gemini_Generated_Image_g3o539g3o539g3o5.png -> images\webp\br\product-br-023.webp  58.3% LARGER (source was already small)
  [OK]  images\br\Gemini_Generated_Image_glz8zoglz8zoglz8.png -> images\webp\br\product-br-024.webp  60.0% LARGER (source was already small)
  [OK]  images\br\Gemini_Generated_Image_gt2e5ogt2e5ogt2e.png -> images\webp\br\product-br-025.webp  56.0% LARGER (source was already small)
  [OK]  images\br\Gemini_Generated_Image_iahbl3iahbl3iahb.png -> images\webp\br\product-br-026.webp  64.1% LARGER (source was already small)
  [OK]  images\br\Gemini_Generated_Image_iiv1z7iiv1z7iiv1.png -> images\webp\br\product-br-027.webp  53.2% LARGER (source was already small)
  [OK]  images\br\Gemini_Generated_Image_jq2fjfjq2fjfjq2f.png -> images\webp\br\product-br-028.webp  64.9% LARGER (source was already small)
  [OK]  images\br\Gemini_Generated_Image_kzi754kzi754kzi7.png -> images\webp\br\product-br-029.webp  56.5% LARGER (source was already small)
  [OK]  images\br\Gemini_Generated_Image_l9bhgbl9bhgbl9bh.png -> images\webp\br\product-br-030.webp  56.7% LARGER (source was already small)
  [OK]  images\br\Gemini_Generated_Image_lspjlrlspjlrlspj.png -> images\webp\br\product-br-031.webp  59.3% LARGER (source was already small)
  [OK]  images\br\Gemini_Generated_Image_ltou3qltou3qltou.png -> images\webp\br\product-br-032.webp  62.1% LARGER (source was already small)
  [OK]  images\br\Gemini_Generated_Image_n06wf6n06wf6n06w.png -> images\webp\br\product-br-033.webp  63.5% LARGER (source was already small)
  [OK]  images\br\Gemini_Generated_Image_n4bf8cn4bf8cn4bf.png -> images\webp\br\product-br-034.webp  56.1% LARGER (source was already small)
  [OK]  images\br\Gemini_Generated_Image_n77kl6n77kl6n77k.png -> images\webp\br\product-br-035.webp  64.3% LARGER (source was already small)
  [OK]  images\br\Gemini_Generated_Image_nnz06rnnz06rnnz0.png -> images\webp\br\product-br-036.webp  57.1% LARGER (source was already small)
